TM,Location,HITTERS,AB,SO vlhp,BB v lhp,HIT v lhp,OB v lhp,TB v lhp,HR v lhp,BP v lhp,CL v lhp,DP v lhp,SO v rhp,BB v rhp,HIT v rhp,OB v rhp,TB v rhp,HR v rhp,BP v rhp,CL v rhp,DP v rhp,STEALING,STL,SPD,B,H,INJ,CA,1B,2B,3B,SS,LF,CF,RF,FIELDING
ATN,,"Hechavarria,A",59,14,0,26.5,26.5,39.6,0,w,-9,14,14,8,21,29,24,0,w,-8,12,-/- (---),E,12,D,C,1,,,211,365,332,,,,2b-2e11 3b-3e65 ss-3e32
ATN,,"Inciarte,E*",116,33,6,13.2,19.2,22.5,3.1,6,+5,0,14,10,6.5,16.5,9.7,0,w,+5,0,"*5,6/- (18-12)",B,14,D,C,1,,,,,,,205,,cf-2(-2)e5
ATN,,"Markakis,N*",130,10,1,23.6,26.6,31,0,w,0,28,11,5,21.9,28.9,44.8,1.8,w,0,26,"2-6,9/- (3-1)",E,10,D,B,2,,,,,,401,,401,rf-4(+1)e1 lf-4e1
ATN,,"Ozuna,M",228,22,19,33.5,52.5,86.3,16.8,8,-5,7,22,20,30.1,50,51,4.6,8,-5,7,-/- (---),E,12,D,B,0,,,,,,417,,417,lf-4(+2)e17 rf-4e17
ATN,,"Riley,A",188,45,5,18.6,24.6,41.4,3,5*,0,19,20,7,17,25,25.1,2,4,-8,19,-/- (---),E,12,D,C,1,,430,,422,,512,,,3b-4e22 lf-5(0)e12 1b-4e30
ATN,,"Sandoval,P+",84,52,10,11.5,24.5,11.5,0,w,-8,19,16,8,15.8,26.8,23.7,2.7,w,-8,23,-/- (---),E,8,D,C,1,,309,,419,,,,,1b-3e9 3b-4e19
ATN,,"Swanson,D",237,40,8,12.7,23.6,20.5,0,w,-3,0,30,9,24.5,36.5,41,3.3,6,-7,0,*4/- (20-6),B,15,D,D,0,,,,,207,,,,ss-2e7
BAA,,"Alberto,H",219,13,0,47.8,50.8,71.9,4.4,w,-6,20,0,0,23.9,26.9,39.3,2.5,w,-6,20,3/- (20-6),C,13,A,B,1,,,406,416,,,,,2b-4e6 3b-4e16
BAA,,"Davis,C*",52,26,52,0,52,0,0,w*,0,0,42,0,1.3,1.3,2.6,0,w*,0,0,-/- (---),E,9,D,D,2,,330,,,,,,,1b-3e30
BAA,,"Hays,A",122,11,4,21.1,28.1,33.8,1.5,2,-9,3,17,4,28.9,35.8,33.3,1.5,1,-12,3,"*2-6,11,12/7,8 (15-5)",D,14,D,C,3,,,,,,303,303,303,cf-3(-1)e3 lf-3e3 rf-3e3
BAA,,"Holaday,B",31,27,0,2.2,2.2,2.2,0,w*,0,24,36,12,6.5,18.5,11.5,0,w*,0,22,-/- (---),E,9,D,D,2,301,425,,,,,,,"c-3(+1)e1,T-4(pb-0) 1b-4e25"
BAA,,"Iglesias,J",142,0,0,44.1,50.1,48.1,1.2,1,+8,2,0,0,44.1,50.1,78.3,3.6,w,+8,2,-/- (---),E,12,D,B,2,,,,,308,,,,ss-3e8
BAA,,"Mountcastle,R",126,20,10,31.4,43.3,38.3,0,w,+1,10,21,8,35.3,45.3,46.5,3.4,4,+1,11,2-6/- (3-1),E,13,D,D,1,,419,,,,404,,,lf-4(+1)e4 1b-4e19
BAA,,"Mullins,C+",140,38,2,9.1,13.1,11.4,0.8,1,-6,0,25,0,34.8,36.8,46,0.3,0,-7,0,*4-6/- (19-13),A,16,A,D,1,,,,,,205,205,205,cf-2(0)e5 rf-2e5 lf-2e5
BAA,,"Nunez,R",195,22,9,17.2,29.2,26,0.3,0,-6,14,42,8,18.7,29.7,37.6,5.2,7,-7,13,-/- (---),E,11,D,D,1,,506,,565,,,,,1b-5e6 3b-5e65
BAA,,"Ruiz,R*",185,26,0,24.5,24.5,36.8,4,7,+1,18,23,9,13.6,22.6,30.1,3,5*,0,16,"2-5,11,12/7,9,10 (13-4)",D,12,D,B,1,,,541,319,,407,,,3b-3e19 2b-5e41 lf-4(+1)e7
BAA,,"Santander,A+",153,22,0,5.9,8.9,20.9,5,7*,0,9,4,0,25.5,28.5,62.2,6.5,8,-1,9,"2-7,12/- (3-1)",E,12,D,D,2,,,,,,213,,213,rf-2(-1)e13 lf-2e13
BAA,,"Severino,P",160,20,20,8.7,29.7,17.7,3,4,-3,11,24,7,24.4,32.4,29,0.3,0,-12,14,2/- (20-6),D,11,D,D,2,415,,,,,,,,"c-4(-2)e15,T-11(pb-5)"
BAA,,"Sisco,C*",98,70,6,4.9,23,11,2,2,-1,6,41,21,10.9,43.9,18.9,1.8,3,-4,1,-/- (---),E,9,D,D,2,401,,,,,,,,"c-4(+1)e1,T-16(pb-0)"
BAA,,"Smith Jr,D*",63,47,3,11.9,17.9,16.9,0,w,-5,11,31,8,17,28,27.1,2.2,2,-5,11,3/- (20-6),C,12,D,D,1,,,,,,412,,,lf-4(+2)e12
BAA,,"Stewart,D*",88,73,14,2.3,21.3,9,2.3,w*,0,0,36,31,7.6,43.5,29.8,7.4,8*,0,0,-/- (---),E,12,B,D,1,,,,,,418,,418,rf-4(0)e18 lf-4e18
BAA,,"Urias,R",25,0,17,44,61,64.9,0,w,+4,24,31,3,38.5,41.5,56.3,3.8,5,+4,17,-/- (---),E,11,D,C,1,,,471,,488,,,,ss-4e88 2b-4e71
BAA,,"Valaika,P",141,29,13,21.3,34.3,47.1,8.6,8,-8,15,20,0,26.9,26.9,34.7,2.3,3,-9,18,2-11/- (3-1),E,12,D,D,1,,407,404,413,448,416,,,ss-4e48 1b-4e7 2b-4e4 3b-4e13 lf-4(+1)e16
BAA,,"Velazquez,A+",63,34,10,13.8,23.8,32.8,0,w,-2,20,46,23,0,23,0,0,w*,0,17,*2-12/- (15-13),B,16,A,C,1,,,318,,310,304,304,,ss-3e10 2b-3e18 lf-3(+1)e4 cf-3e4
BAA,,"Williams,M*",18,75,0,0,0,0,0,w*,0,0,77,0,0,0,0,0,w*,0,0,2-12/- (3-1),E,13,D,C,1,,,,,,305,305,305,cf-3(0)e5 lf-3e5 rf-3e5
BOA,,"Arauz,J+",72,32,10,25,35,26,0,w,+4,0,32,12,16.3,28.3,17.8,0.5,1,+4,0,-/- (---),E,12,D,D,1,,,324,424,419,,,,2b-3e24 3b-4e24 ss-4e19
BOA,,"Arroyo,C",50,40,0,6.3,6.3,16.8,3.5,7,-1,30,5,16,20.6,36.6,36.5,5,8,-7,24,-/- (---),E,13,D,C,2,,,304,326,420,,,,2b-3e4 ss-4e20 3b-3e26
BOA,,"Benintendi,A*",39,68,17,0,22,0,0,w*,0,11,38,39,0,44,0,0,w*,0,10,"*2-6,9/7,8,10-12 (15-4)",D,12,B,D,4,,,,,,302,,,lf-3(-1)e2
BOA,,"Bogaerts,X",203,12,7,36,43,51.2,4.8,8,-16,8,15,11,26.3,37.3,39.1,3.2,6,-16,10,*6/- (20-11),A,14,D,C,1,,,,,316,,,,ss-3e16
BOA,,"Bradley Jr,J*",191,13,22,25.1,49.1,43.6,3.8,7,-10,3,26,6,28.5,36.5,37.9,1.5,2,-12,5,"*5,6/- (16-11)",B,14,C,C,1,,,,,,,104,,cf-1(-2)e4
BOA,,"Chavis,M",146,44,3,13.1,19,25.5,2,3,-6,31,43,2,13.4,18.4,27.3,1.6,2,-2,31,*5/- (20-11),B,12,D,D,1,,310,447,,,425,,,1b-3e10 lf-4(+1)e25 2b-4e47
BOA,,"Dalbec,B",80,64,0,28.3,33.3,83.3,14.3,8*,0,0,42,22,12.7,39.6,40,9.1,8,-1,0,-/- (---),E,11,D,D,1,,424,,429,,,,,1b-4e24 3b-4e29
BOA,,"Devers,R*",232,35,3,17.3,23.3,31.8,2.5,w,+7,24,30,0,26.4,29.4,56.1,6.5,8,+7,27,-/- (---),E,13,D,C,1,,,,441,,,,,3b-4e41
BOA,,"Lin,T*",52,56,0,0,0,0,0,w*,0,16,40,0,7.8,7.8,7.8,0,w,+4,16,-/- (---),E,14,B,C,1,516,,205,,364,406,406,406,"ss-3e64 2b-2e5 lf-4(+1)e6 rf-4e6 cf-4e6 c-5(+4)e16,T-20(pb-0)"
BOA,,"Martinez,J",211,28,5,12.6,19.6,26.1,1.6,3,0,18,30,10,14.3,26.3,28.3,1.4,2*,0,18,2/- (20-6),D,11,D,D,1,,,,,,512,,512,rf-5(+1)e12 lf-5e12
BOA,,"Munoz,Y",45,26,0,44.5,44.5,54.5,0,w,-9,18,25,0,39.5,39.5,62.3,1.1,1,-9,18,*4/- (20-11),B,13,D,C,2,,,,,,409,,409,lf-4(-1)e9 rf-4e9
BOA,,"Peraza,J",111,0,0,14.8,19.8,30.5,0,w,-1,20,12,0,17.7,22.7,37,3,w,-2,20,"2-5,11,12/9 (13-6)",D,15,D,D,1,,,321,465,312,409,,,2b-3e21 lf-4(0)e9 3b-4e65 ss-3e12
BOA,,"Plawecki,K",82,0,0,43.4,48.4,55.9,1.5,2,+4,32,22,10,32.8,47.8,45.3,0,w,+4,27,2/- (20-6),D,10,D,C,2,308,422,,,,,,,"c-3(+1)e8,T-1(pb-0) 1b-4e22"
BOA,,"Vazquez,C",173,24,12,18.2,30.2,37.4,6.4,8,-10,23,23,8,31.4,39.4,42.8,1,0,-12,22,*3-8/10 (15-8),C,11,D,D,2,301,,541,,,,,,"c-3(-2)e1,T-4(pb-3) 2b-5e41"
BOA,,"Verdugo,A*",201,29,7,38.8,47.8,51.6,2.5,w,-16,12,12,5,32.1,39.1,52.2,2.4,5,-14,16,*3/- (20-6),B,14,D,D,1,,,,,,213,313,213,rf-2(-3)e13 lf-2e13 cf-3e13
CHA,,"Abreu,J",240,21,6,23.7,32.7,52,6.4,8,+4,29,20,6,32.6,41.6,61.5,7.3,8,+4,24,-/- (---),E,11,D,B,0,,215,,,,,,,1b-2e15
CHA,,"Anderson,T",208,7,14,45,61,85.3,6.8,8,-15,8,25,0,35,37,44,2,3,-17,15,"*5,6/- (16-11)",B,16,D,B,2,,,,,320,,,,ss-3e20
CHA,,"Collins,Z*",16,53,0,0,0,0,0,w*,0,0,32,15,0,15,0,0,w*,0,0,-/- (---),E,9,D,D,2,406,422,,,,,,,"c-4(+2)e6,T-8(pb-0) 1b-4e22"
CHA,,"Delmonico,N*",20,0,0,0,0,0,0,w*,0,34,0,9,4.3,13.3,4.3,0,w,+4,31,-/- (---),E,12,D,D,1,,,,,,408,,408,lf-4(+1)e8 rf-4e8
CHA,,"Dyson,J*",61,24,0,9.3,9.3,9.3,0,w,+4,0,7,4,11,15,11,0,w,+4,0,*2-6/- (20-13),A,17,C,D,1,,,,,,208,208,208,cf-2(0)e8 rf-2e8 lf-2e8
CHA,,"Encarnacion,E",88,0,0,32.4,37.4,36.3,1.3,1,-2,6,29,0,31.4,36.4,53.9,2,2,-2,6,3/- (20-6),C,17,D,C,1,,,,,,,,,
CHA,,"Engel,A",59,12,0,17.7,17.7,23.7,2,3,-9,0,4,5,28.7,33.7,41.5,4.3,5,-8,0,-/- (---),E,15,B,B,1,,,,,,107,107,107,rf-1(-1)e7 lf-1e7 cf-1e7
CHA,,"Garcia,L+",161,29,33,12.6,46.5,25,4.2,7,+6,9,42,21,13.4,35.4,28.1,3.2,3,+7,16,-/- (---),E,8,D,D,4,,,412,,426,,,310,ss-4e26 2b-4e12 rf-3(-1)e10
CHA,,"Grandal,Y+",213,35,0,27.9,27.9,56.7,9.6,8,-10,16,22,6,31,37,56,4.3,7,-10,14,-/- (---),E,12,D,D,2,210,425,,,,,,,"c-2(-2)e10,T-1(pb-5) 1b-4e25"
CHA,,"Jimenez,E",103,0,0,17.2,21.2,17.2,0,w,+6,33,0,0,47.8,51.8,50.6,0,w,+6,28,*2-5/- (15-11),C,14,D,B,1,,,,,,403,,,lf-4(-1)e3
CHA,,"Madrigal,N",136,45,2,18.3,25.3,22.9,0,w,+8,0,35,4,19.8,28.9,29.4,1.8,w,+8,0,"2-6,11,12/- (3-1)",E,11,D,C,2,,,323,,,,,,2b-3e23
CHA,,"Mazara,N*",97,9,16,39,63,59.4,4.5,7,-7,9,41,4,18.6,30.6,34.8,5.4,8,-8,12,4-6/10 (13-6),D,10,D,D,2,,,,,,,,401,rf-4(-2)e1
CHA,,"McCann,J",107,33,9,10.9,19.9,22.2,1.5,1*,0,20,14,1,28.9,29.9,35.6,0.5,1,-13,19,3-8/- (3-1),E,13,D,C,2,216,,,,,,,,"c-2(-2)e16,T-16(pb-3)"
CHA,,"Mendick,D",200,36,33,11.2,45.1,13,0.6,0,-5,0,44,11,19,31,34.8,2,1,-6,0,-/- (---),E,14,D,B,1,,,206,311,404,,,,2b-2e6 3b-3e11 ss-4e4
CHA,,"Moncada,Y+",202,23,16,20.9,37.9,31.1,2.5,3,-9,13,47,10,15.2,26.2,29.5,3.8,6,-6,10,*2-5/- (19-13),A,17,D,D,1,,,,219,,,,,3b-2e19
CHA,,"Robert,L",16,48,26,0,26,0,0,w*,0,25,6,41,28.5,69.5,66.6,4.8,5*,0,19,-/- (---),E,14,C,D,1,,,,,,,103,,cf-1(-3)e3
CHA,,"Sanchez,Y+",61,24,0,9.3,9.3,9.3,0,w,+4,0,7,4,11,15,11,0,w,+4,0,*2-6/- (20-13),A,17,C,D,1,,,210,244,468,,,,3b-2e44 2b-2e10 ss-4e68
CHN,,"Almora Jr,A",30,14,9,8.1,24,8.1,0,w,-6,0,35,10,7,24,12,0,w*,0,0,-/- (---),E,13,D,C,1,,,,,,,205,,cf-2(-1)e5
CHN,,"Baez,J",222,34,0,15.7,19.7,32,2.4,3,-3,26,41,0,13.8,17.8,22.9,2,3,-7,24,4/- (20-6),C,16,B,D,1,,,,,124,,,,ss-1e24
CHN,,"Bote,D",125,26,13,3.8,19.8,14,3.4,5*,0,28,33,18,10.8,31.9,26.9,4.2,7,+7,23,3/- (20-6),D,14,D,D,1,,425,334,222,,,,,3b-2e22 2b-3e34 1b-4e25
CHN,,"Bryant,K",131,8,22,24.6,52.6,31.7,0,w,-10,1,36,5,9.2,20.2,20.9,2.5,3,-2,3,-/- (---),E,15,D,D,2,,422,,325,,411,,,3b-3e25 lf-4(0)e11 1b-4e22
CHN,,"Caratini,V+",116,45,6,14.4,27.4,25.3,2.8,4,+8,18,19,7,20.5,34.5,28.1,0,w,+8,22,"2-6,9/- (3-1)",E,9,D,C,2,307,411,,,,,,,"c-3(-1)e7,T-1(pb-0) 1b-4e11"
CHN,,"Contreras,W",189,36,3,13.4,31.4,20.8,0,w,+3,18,23,11,17.2,43.2,29.5,2.8,4,+3,18,"2-5,12/9-11 (13-4)",E,12,D,C,1,201,,,,,,,,"c-2(-3)e1,T-10(pb-0)"
CHN,,"Hamilton,B+",32,55,8,0,8,0,0,w*,0,0,1,0,3.8,3.8,14.9,3.7,6*,0,0,*2-12/- (18-16),B,17,B,C,1,,,,,,,100,,cf-1(-2)e0
CHN,,"Happ,I+",198,40,24,19,45,19.5,0.2,0,-10,0,29,14,21.3,37.3,52,7,8,-4,0,"2-5/7,9-11 (13-1)",D,13,D,D,1,,422,,,,303,403,403,cf-4(-1)e3 lf-3e3 rf-4e3 1b-4e22
CHN,,"Heyward,J*",147,24,13,14.1,30,26.5,2.1,4,-4,1,16,26,24.5,53.5,38.5,2.3,5,-9,0,2/- (20-6),D,15,D,B,1,,,,,,,,104,rf-1(-3)e4
CHN,,"Hoerner,N",108,4,6,20,32,20.3,0,w,+8,19,18,14,12.6,32.7,15.9,0,w,+7,17,*4-7/12 (15-10),C,16,D,B,1,,,213,337,316,,414,,2b-2e13 ss-3e16 3b-3e37 cf-4(+2)e14
CHN,,"Kipnis,J*",114,11,27,9.6,38.6,13.3,0,w,+6,2,46,15,19.8,36.8,36.4,1.3,3,+7,3,2/- (20-6),E,13,D,C,1,,425,417,,,,,,2b-4e17 1b-4e25
CHN,,"Martinez,J",88,43,15,6.8,21.8,21.5,4,w*,0,27,24,5,9.7,14.7,11.9,0.8,0,+4,32,-/- (---),E,11,D,C,1,,514,,,,,,,1b-5e14
CHN,,"Maybin,C",93,5,19,17.7,38.7,23.7,0,w,-7,24,29,3,24.3,29.3,51.7,2.8,w,-4,33,*5/- (20-13),B,13,D,C,2,,,,,,307,307,307,rf-3(0)e7 lf-3e7 cf-3e7
CHN,,"Phegley,J",191,48,9,13,25,23.3,3.4,6,-7,11,32,19,8.6,30.6,26.9,5,8*,0,9,2/- (20-6),E,13,D,D,2,401,,,,,,,,"c-4(0)e1,T-3(pb-20)"
CHN,,"Rizzo,A*",27,40,40,0,40,0,0,w*,0,0,85,3,8.4,11.4,25.8,4.6,8*,0,0,*3/- (20-11),D,14,D,D,1,,103,,,,,,,1b-1e3
CHN,,"Schwarber,K*",88,43,15,6.8,21.8,21.5,4,w*,0,27,24,5,9.7,14.7,11.9,0.8,0,+4,32,-/- (---),E,11,D,C,1,,,,,,406,,,lf-4(-2)e6
CHN,,"Souza Jr,S",93,5,19,17.7,38.7,23.7,0,w,-7,24,29,3,24.3,29.3,51.7,2.8,w,-4,33,*5/- (20-13),B,13,D,C,2,,,,,,308,,208,rf-2(-1)e8 lf-3e8
CHN,,"Vargas,I+",51,27,0,10.9,10.9,25.6,2.4,3,-3,30,1,0,15.8,15.8,21.8,0,w,-9,30,-/- (---),E,13,D,C,2,,430,317,424,,,,,2b-3e17 1b-4e30 3b-4e24
CIN,,"Akiyama,S*",155,38,0,15.4,18.4,20,0,w,+3,1,10,21,20.9,44.8,24.4,0,w,+2,0,*3-6/- (16-12),A,14,D,C,1,,,,,,104,304,,lf-1(-1)e4 cf-3e4
CIN,,"Aquino,A",47,48,8,8.8,29.8,20.8,2.8,3*,0,17,34,18,3.3,34.3,9.4,2,1*,0,11,*3/- (20-6),C,14,D,C,1,,,,,,305,405,305,lf-3(-1)e5 rf-3e5 cf-4e5
CIN,,"Barnhart,T*",98,40,17,0,17,0,0,w*,0,13,25,11,17.5,28.5,34.3,4.8,6,+4,14,-/- (---),E,8,D,B,2,101,418,,,,,,,"c-1(-3)e1,T-3(pb-3) 1b-4e18"
CIN,,"Casali,C",76,41,14,20.3,42.3,51.7,8.3,8,-3,10,37,29,4,41,15.2,3.8,5*,0,15,*4/- (20-6),C,9,D,C,2,301,,,,,,,,"c-3(-1)e1,T-12(pb-5)"
CIN,,"Castellanos,N",218,16,0,17.8,21.8,40.8,4.5,5,-5,18,38,11,12.6,27.6,34.3,4.8,6,0,16,"2-8,11/- (3-1)",E,12,D,D,0,,,,,,,,509,rf-5(0)e9
CIN,,"Colon,C",23,0,0,17.3,17.3,32.9,0,w*,0,32,0,0,0,0,0,0,w*,0,32,*3/- (20-11),B,12,C,C,1,,425,318,,,,,,2b-3e18 1b-4e25
CIN,,"Davidson,M",43,39,11,14,25,51,11.8,8*,0,26,24,5,0,5,0,0,w*,0,32,-/- (---),E,9,D,D,2,,412,,,,,,,1b-4e12
CIN,,"Farmer,K",64,0,0,35.8,38.8,46.5,0,w,-5,0,25,11,20.3,34.3,20.7,0,w,-5,0,3/- (20-6),C,12,D,C,1,,420,337,308,312,425,,,ss-3e12 2b-3e37 3b-3e8 1b-4e20 lf-4(+1)e25
CIN,,"Galvis,F+",141,21,2,15.8,24.8,28.4,4,5,-8,24,13,9,15.1,31.1,27.2,3.3,3,-7,22,"5,6/10 (13-6)",D,13,D,C,1,,,306,,416,,,,ss-4e16 2b-3e6
CIN,,"Garcia,J",67,50,0,25.5,25.5,25.5,0,w,-9,11,53,0,9.6,9.6,9.6,0,w,-7,11,"*2-7,12/9,10 (15-7)",C,13,D,D,1,,,,,317,,,,ss-3e17
CIN,,"Goodwin,B*",144,47,1,6.4,9.4,16.8,3.2,3,-1,3,45,14,18.1,34.1,37.9,2.8,2,-3,2,*6/- (20-13),B,13,D,D,1,,,,,,304,304,304,cf-3(0)e4 lf-3e4 rf-3e4
CIN,,"Jankowski,T*",15,74,0,0,0,0,0,w*,0,27,58,20,0,20,0,0,w*,0,23,*2-12/- (15-13),B,16,D,D,1,,,,,,204,204,204,cf-2(0)e4 lf-2e4 rf-2e4
CIN,,"Moustakas,M*",139,18,6,17.5,29.5,31.4,1.8,1,+5,24,23,14,13.9,33.9,35.4,5,7,+5,19,2/- (20-6),D,11,D,D,2,,321,404,420,,,,,2b-4e4 1b-3e21 3b-4e20
CIN,,"Payton,M*",18,53,0,0,0,0,0,w*,0,33,26,12,9.3,21.3,15.9,0,w,-1,30,*3/- (20-11),B,13,D,C,1,,,,,,401,,,lf-4(+1)e1
CIN,,"Senzel,N",70,6,5,6.7,11.7,17.5,2.2,2*,0,22,21,10,14.6,24.5,29.6,0.4,0*,0,20,*2-8/- (15-13),B,15,D,C,2,,,,,,,408,,cf-4(-1)e8
CIN,,"Stephenson,T",17,42,11,19.4,41.4,50.9,10.5,8,-6,0,32,14,25.6,50.7,63.2,12.5,8,-7,0,-/- (---),E,8,D,D,2,416,,,,,,,,"c-4(0)e16,T-20(pb-0)"
CIN,,"Suarez,E",198,35,16,12,30,36.4,6.2,7*,0,16,35,19,7.4,28.5,25.4,5.4,7*,0,15,3/- (20-6),D,11,D,D,1,,,,314,,,,,3b-3e14
CIN,,"Votto,J*",186,20,36,6.3,42.3,16,3.3,3,-1,12,13,19,16.5,35.5,35.8,4.5,6,-4,16,-/- (---),E,10,D,C,1,,417,,,,,,,1b-4e17
CIN,,"Winker,J*",149,42,10,24.5,41.4,44.3,4.6,6,-11,9,23,25,13.9,46,34,5.8,8,-3,9,2/- (20-6),E,10,D,D,1,,,,,,406,,406,lf-4(0)e6 rf-4e6
CLA,,"Deshields,D",107,29,0,21.9,21.9,38.3,0,w,-9,0,25,12,23.8,35.8,28.5,0,w,-8,0,"*2-6,10/11 (15-10)",B,16,A,D,2,,,,,,,206,,cf-2(+1)e6
